,ParticipationDate,Progress,Duration_S,Duration_M,Finished,ResponseID,US_LatLong,HealthyAdult,Consent,CisMen_Caring,CisMen_WarmInRelations,CisMen_Empathetic,CisMen_Affectionate,CisMen_Friendly,CisMen_Just,CisMen_Fair,CisMen_Considerate,CisMen_Trustworthy,CisMen_Reliable,CisMen_SelfConfident,CisMen_GoodUnderPressure,CisMen_Persistent,CisMen_HasLeadershipQualities,CisMen_FeelSuperior,CisMen_Efficient,CisMen_Capable,CisMen_Competent,CisMen_Intelligent,CisMen_Clever,CisMen_DisplayOrder,CisWomen_Caring,CisWomen_WarmInRelations,CisWomen_Empathetic,CisWomen_Affectionate,CisWomen_Friendly,CisWomen_Just,CisWomen_Fair,CisWomen_Considerate,CisWomen_Trustworthy,CisWomen_Reliable,CisWomen_SelfConfident,CisWomen_GoodUnderPressure,CisWomen_Persistent,CisWomen_HasLeadershipQualities,CisWomen_FeelSuperior,CisWomen_Efficient,CisWomen_Capable,CisWomen_Competent,CisWomen_Intelligent,CisWomen_Clever,CisWomen_DisplayOrder,TransMen_Caring,TransMen_WarmInRelations,TransMen_Empathetic,TransMen_Affectionate,TransMen_Friendly,TransMen_Just,TransMen_Fair,TransMen_Considerate,TransMen_Trustworthy,TransMen_Reliable,TransMen_SelfConfident,TransMen_GoodUnderPressure,TransMen_Persistent,TransMen_HasLeadershipQualities,TransMen_FeelSuperior,TransMen_Efficient,TransMen_Capable,TransMen_Competent,TransMen_Intelligent,TransMen_Clever,TransMen_DisplayOrder,TransWomen_Caring,TransWomen_WarmInRelations,TransWomen_Empathetic,TransWomen_Affectionate,TransWomen_Friendly,TransWomen_Just,TransWomen_Fair,TransWomen_Considerate,TransWomen_Trustworthy,TransWomen_Reliable,TransWomen_SelfConfident,TransWomen_GoodUnderPressure,TransWomen_Persistent,TransWomen_HasLeadershipQualities,TransWomen_FeelSuperior,TransWomen_Efficient,TransWomen_Capable,TransWomen_Competent,TransWomen_Intelligent,TransWomen_Clever,TransWomen_DisplayOrder,NonBinary_Caring,NonBinary_WarmInRelations,NonBinary_Empathetic,NonBinary_Affectionate,NonBinary_Friendly,NonBinary_Just,NonBinary_Fair,NonBinary_Considerate,NonBinary_Trustworthy,NonBinary_Reliable,NonBinary_SelfConfident,NonBinary_GoodUnderPressure,NonBinary_Persistent,NonBinary_HasLeadershipQualities,NonBinary_FeelSuperior,NonBinary_Efficient,NonBinary_Capable,NonBinary_Competent,NonBinary_Intelligent,NonBinary_Clever,NonBinary_DisplayOrder,PersonallyEncountered_CisMen,PersonallyEncountered_CisWomen,PersonallyEncountered_TransMen,PersonallyEncountered_TransWomen,PersonallyEncountered_NonBinary,PersonallyEncountered_Order,MediaStories_CisMen,MediaStories_CisWomen,MediaStories_TransMen,MediaStories_TransWomen,MediaStories_NonBinary,MediaStories_Order,AttentionCheck,Essentialism_Discreteness,Essentialism_Naturalness,Essentialism_Immutability,Essentialism_Stability,Essentialism_Necessity,Essentialism_Uniformity,Essentialism_Informativeness,Essentialism_Inherence,Essentialism_Exclusivity,NfC_1,NfC_2,NfC_3,NfC_4,NfC_5,NfC_6,NfC_7,NfC_8,NfC_Order_FirstHalf,NfC_9,NfC_10,NfC_11,NfC_12,NfC_13,NfC_14,NfC_15,NfC_Order_SecondHalf,HighestEducation,Conservatism,Liberalism,Political_Order,SubjSES_US,SubjSES_Community,Confusion.in.Comment,SocialCategoryOrder,Essentialism_Order,QualityControl,Age_General,RacialIdentity_WhitePoC,GenderIdentity_General,Sexuality_Summary,AnnualPreTaxIncome_Categorical
45,11/8/2017,100,257,4.283333333,1,2741rk3eaMsVjse,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caring|SelfConfident|Persistent|GoodUnderPressure|Competent|Trustworthy|HasLeadershipQualities|Reliable|Friendly|Capable|Affectionate|Efficient|Intelligent|WarmInRelations|Just|Fair|Empathetic|FeelSuperior|Considerate|Clever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Efficient|Friendly|Persistent|Clever|FeelSuperior|Trustworthy|Fair|Reliable|Caring|HasLeadershipQualities|Affectionate|Competent|SelfConfident|Intelligent|Just|GoodUnderPressure|Capable|Empathetic|WarmInRelations|Considerate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,Efficient|WarmInRelations|Capable|Considerate|Persistent|Empathetic|Reliable|Just|FeelSuperior|Friendly|Caring|Clever|Trustworthy|Fair|SelfConfident|Intelligent|GoodUnderPressure|HasLeadershipQualities|Competent|Affectionate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,Considerate|Trustworthy|Capable|Competent|WarmInRelations|Persistent|Clever|Fair|SelfConfident|Efficient|FeelSuperior|Just|Affectionate|Intelligent|Friendly|HasLeadershipQualities|GoodUnderPressure|Caring|Empathetic|Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,Considerate|Caring|Clever|HasLeadershipQualities|GoodUnderPressure|Just|Fair|SelfConfident|Reliable|Efficient|Empathetic|Affectionate|Trustworthy|Intelligent|Friendly|Capable|WarmInRelations|FeelSuperior|Competent|Persistent,3,3,1,1,1,TransWomen|CisWomen|TransMen|CisMen|NonBinary,3,3,1,1,1,TransWomen|TransMen|NonBinary|CisWomen|CisMen,1,4,4,7,7,7,0,0,8,4,1,1,2,3,1,3,1,1,2|1|3|8|7|4|6|5,1,1,1,3,1,1,1,12|14|15|9|11|13|10,5,1,7,Conservatism|Liberalism,5,5,0,TransMen|CisWomen|CisMen|TransWomen|Non-Binary,Immutability|Discreteness|Inherence|Exclusivity|Naturalness|Informativeness|Stability|Uniformity|Necessity,Keep,1,1,1,1,4
46,11/6/2017,100,1028,17.13333333,1,27PWJqeWVzIL5Qg,0,1,1,0,0,-1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,Intelligent|Fair|Friendly|Reliable|Trustworthy|Competent|Considerate|WarmInRelations|FeelSuperior|Affectionate|HasLeadershipQualities|Capable|Just|Empathetic|GoodUnderPressure|Clever|SelfConfident|Efficient|Persistent|Caring,1,0,0,1,1,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,Reliable|Capable|HasLeadershipQualities|Just|Affectionate|Trustworthy|Efficient|Caring|Competent|Fair|Empathetic|SelfConfident|Considerate|Intelligent|Persistent|Clever|Friendly|WarmInRelations|FeelSuperior|GoodUnderPressure,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,Fair|WarmInRelations|Considerate|Just|Intelligent|Persistent|Empathetic|Reliable|GoodUnderPressure|Clever|Trustworthy|Affectionate|Competent|Caring|HasLeadershipQualities|SelfConfident|FeelSuperior|Friendly|Capable|Efficient,-1,-1,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GoodUnderPressure|Reliable|Fair|HasLeadershipQualities|Persistent|Caring|Competent|SelfConfident|Capable|Empathetic|Just|FeelSuperior|Efficient|Affectionate|WarmInRelations|Intelligent|Considerate|Trustworthy|Friendly|Clever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,NA,0,0,Friendly|Caring|Trustworthy|Fair|Reliable|HasLeadershipQualities|WarmInRelations|FeelSuperior|GoodUnderPressure|SelfConfident|Intelligent|Affectionate|Considerate|Efficient|Just|Persistent|Clever|Capable|Empathetic|Competent,3,3,1,1,0,CisMen|TransWomen|CisWomen|TransMen|NonBinary,3,3,0,1,1,CisMen|NonBinary|CisWomen|TransWomen|TransMen,1,2,8,6,7,3,3,6,3,2,4,3,5,4,2,4,5,4,8|1|3|4|7|6|2|5,3,4,4,4,3,4,4,10|9|11|13|15|12|14,5,3,5,Conservatism|Liberalism,2,5,0,TransMen|TransWomen|Non-Binary|CisMen|CisWomen,Stability|Inherence|Discreteness|Exclusivity|Immutability|Necessity|Informativeness|Uniformity|Naturalness,5 - Not In US - Zip Code,1,2,1,1,1
47,11/6/2017,100,369,6.15,1,27Qe6G4OcauGAqz,1,1,1,0,0,0,0,0,1,1,0,1,2,2,1,2,1,1,2,2,2,1,1,Persistent|Affectionate|Friendly|Clever|Intelligent|Reliable|SelfConfident|Competent|Considerate|Just|Capable|WarmInRelations|FeelSuperior|GoodUnderPressure|Caring|Trustworthy|Fair|HasLeadershipQualities|Efficient|Empathetic,2,2,1,2,2,2,2,2,1,2,1,2,2,0,-1,1,1,1,1,1,Empathetic|Persistent|Clever|Reliable|Affectionate|Competent|GoodUnderPressure|Intelligent|Caring|Just|FeelSuperior|Trustworthy|Considerate|Capable|Efficient|WarmInRelations|HasLeadershipQualities|Friendly|Fair|SelfConfident,1,1,2,1,1,2,2,2,1,1,2,2,2,0,0,1,1,1,1,1,FeelSuperior|Caring|Empathetic|Reliable|HasLeadershipQualities|Trustworthy|Considerate|Affectionate|Clever|Just|Intelligent|Efficient|Competent|Persistent|Friendly|WarmInRelations|SelfConfident|Capable|GoodUnderPressure|Fair,2,1,2,1,1,1,2,2,1,1,2,2,2,1,0,1,1,1,1,1,Affectionate|Clever|Empathetic|Persistent|Reliable|Intelligent|Just|Trustworthy|GoodUnderPressure|Fair|Considerate|HasLeadershipQualities|Capable|SelfConfident|Friendly|FeelSuperior|WarmInRelations|Caring|Competent|Efficient,1,1,2,1,1,2,2,1,1,1,2,1,1,0,0,1,1,1,1,1,Friendly|FeelSuperior|Persistent|Reliable|GoodUnderPressure|Clever|SelfConfident|Competent|Efficient|Caring|Fair|Affectionate|WarmInRelations|Trustworthy|Considerate|Empathetic|Just|Capable|Intelligent|HasLeadershipQualities,3,3,1,1,0,NonBinary|TransWomen|TransMen|CisWomen|CisMen,3,3,2,2,1,TransMen|CisMen|NonBinary|CisWomen|TransWomen,1,8,2,0,3,6,0,0,8,8,2,3,3,5,4,5,3,4,4|6|7|3|5|2|8|1,3,4,3,6,5,2,4,11|15|10|14|9|13|12,3,2,6,Liberalism|Conservatism,2,5,0,TransWomen|Non-Binary|CisWomen|TransMen|CisMen,Immutability|Inherence|Exclusivity|Stability|Uniformity|Naturalness|Informativeness|Discreteness|Necessity,Keep,1,1,1,1,2
48,11/8/2017,100,397,6.616666667,1,27TAVgghebRnASV,0,1,1,0,0,-1,0,0,-1,-1,-1,0,0,1,1,1,1,1,0,0,0,0,0,Capable|Friendly|Caring|Efficient|Fair|HasLeadershipQualities|Clever|GoodUnderPressure|Intelligent|Empathetic|Affectionate|FeelSuperior|Just|Reliable|Persistent|WarmInRelations|Competent|Considerate|Trustworthy|SelfConfident,1,1,1,1,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,Affectionate|Efficient|FeelSuperior|Intelligent|Just|Friendly|GoodUnderPressure|Caring|HasLeadershipQualities|Clever|Capable|Persistent|Competent|Fair|Trustworthy|Empathetic|Reliable|SelfConfident|Considerate|WarmInRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WarmInRelations|Reliable|Persistent|Competent|Clever|Considerate|HasLeadershipQualities|Caring|Efficient|FeelSuperior|SelfConfident|Empathetic|Capable|Affectionate|GoodUnderPressure|Friendly|Just|Fair|Trustworthy|Intelligent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friendly|Efficient|GoodUnderPressure|Capable|Caring|Affectionate|HasLeadershipQualities|Competent|Reliable|SelfConfident|Persistent|Considerate|Intelligent|Empathetic|WarmInRelations|Trustworthy|Fair|Just|Clever|FeelSuperior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trustworthy|HasLeadershipQualities|Reliable|Considerate|Friendly|GoodUnderPressure|WarmInRelations|Just|Empathetic|Affectionate|Efficient|SelfConfident|Competent|Clever|Capable|Persistent|Intelligent|Fair|FeelSuperior|Caring,3,3,1,1,1,TransWomen|TransMen|NonBinary|CisWomen|CisMen,3,3,1,1,1,TransWomen|CisWomen|CisMen|TransMen|NonBinary,1,2,7,4,7,0,6,5,4,3,3,3,3,4,4,4,4,4,8|4|7|2|3|5|6|1,3,4,4,4,3,3,4,10|11|12|9|15|13|14,3,1,6,Liberalism|Conservatism,4,6,0,Non-Binary|TransMen|CisMen|TransWomen|CisWomen,Discreteness|Naturalness|Exclusivity|Uniformity|Immutability|Stability|Necessity|Informativeness|Inherence,6 - Not un US - LatLong,1,2,1,1,2
49,11/8/2017,100,388,6.466666667,1,28B2DrlMmloXvtb,1,1,1,1,0,0,0,-1,-1,0,1,0,0,-1,0,2,1,-1,0,-1,1,-1,1,SelfConfident|HasLeadershipQualities|Reliable|Capable|Competent|GoodUnderPressure|Fair|Persistent|Efficient|Just|WarmInRelations|Clever|Affectionate|Friendly|Considerate|Empathetic|Intelligent|Caring|Trustworthy|FeelSuperior,1,-1,0,1,1,-1,1,0,2,0,0,-1,1,-1,0,1,-1,0,-1,2,Capable|Efficient|Considerate|Intelligent|SelfConfident|Trustworthy|Caring|Just|Empathetic|HasLeadershipQualities|Fair|Competent|Clever|Persistent|GoodUnderPressure|FeelSuperior|Affectionate|WarmInRelations|Reliable|Friendly,-1,-1,0,-1,0,-1,0,1,0,0,1,0,-1,2,1,0,-1,0,1,1,WarmInRelations|Empathetic|HasLeadershipQualities|Caring|Competent|Clever|Fair|Just|Trustworthy|FeelSuperior|Friendly|Capable|Efficient|Intelligent|Reliable|Affectionate|SelfConfident|GoodUnderPressure|Persistent|Considerate,1,-1,1,-1,-1,1,1,2,-1,0,0,0,0,-1,-1,1,0,1,0,0,Friendly|Empathetic|Clever|FeelSuperior|SelfConfident|GoodUnderPressure|Just|HasLeadershipQualities|Efficient|Capable|Trustworthy|Considerate|Competent|Persistent|Affectionate|Caring|Reliable|WarmInRelations|Intelligent|Fair,0,-1,-1,0,0,1,1,1,-1,-1,0,0,0,0,1,0,-1,-1,1,1,Friendly|Competent|FeelSuperior|Persistent|Capable|Fair|HasLeadershipQualities|Reliable|Intelligent|GoodUnderPressure|Caring|WarmInRelations|Considerate|Affectionate|Trustworthy|Just|Efficient|Empathetic|Clever|SelfConfident,3,3,1,1,1,TransWomen|TransMen|CisWomen|CisMen|NonBinary,2,2,2,2,2,NonBinary|CisWomen|CisMen|TransMen|TransWomen,1,3,NA,7,4,5,5,3,4,5,4,6,4,3,5,5,4,5,2|5|8|6|3|4|7|1,5,4,4,5,3,3,3,9|15|11|13|10|12|14,3,2,6,Liberalism|Conservatism,3,4,0,CisWomen|TransWomen|CisMen|TransMen|Non-Binary,Immutability|Discreteness|Necessity|Stability|Uniformity|Informativeness|Naturalness|Exclusivity|Inherence,Keep,1,1,2,1,2
50,11/6/2017,100,319,5.316666667,1,2908LpNcnyDn2TN,1,1,1,1,2,1,1,1,1,2,0,2,2,1,2,2,2,1,2,2,2,2,2,Considerate|FeelSuperior|Reliable|Intelligent|Empathetic|Persistent|Affectionate|Clever|HasLeadershipQualities|Competent|Capable|Trustworthy|WarmInRelations|Efficient|Fair|Friendly|SelfConfident|Just|Caring|GoodUnderPressure,1,2,1,1,0,-1,-1,1,-1,-1,1,1,0,0,0,0,1,1,1,1,Caring|Fair|WarmInRelations|GoodUnderPressure|Persistent|Empathetic|FeelSuperior|Clever|Reliable|Intelligent|Capable|SelfConfident|Efficient|Friendly|Trustworthy|Competent|Considerate|Just|Affectionate|HasLeadershipQualities,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,0,-2,0,-2,2,-2,-2,-2,-2,-2,Fair|Empathetic|Competent|Reliable|Intelligent|Friendly|Efficient|Trustworthy|GoodUnderPressure|WarmInRelations|Clever|Considerate|Capable|Caring|Persistent|Affectionate|FeelSuperior|Just|SelfConfident|HasLeadershipQualities,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,0,-2,-2,-2,2,-2,-2,-2,-2,-2,Capable|Trustworthy|Considerate|Reliable|Persistent|WarmInRelations|Affectionate|Caring|SelfConfident|Fair|GoodUnderPressure|Just|Efficient|Intelligent|Clever|Friendly|HasLeadershipQualities|Competent|Empathetic|FeelSuperior,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,1,-2,0,-2,2,-1,-2,-2,-2,-2,FeelSuperior|Efficient|Fair|Friendly|Persistent|Clever|Intelligent|Caring|WarmInRelations|Empathetic|Considerate|Just|Reliable|HasLeadershipQualities|Affectionate|Competent|Trustworthy|Capable|GoodUnderPressure|SelfConfident,3,3,0,0,0,TransMen|NonBinary|TransWomen|CisMen|CisWomen,3,3,1,1,1,NonBinary|CisMen|TransWomen|CisWomen|TransMen,1,0,8,8,8,0,8,8,0,0,5,3,3,5,4,5,5,5,1|8|3|7|5|6|2|4,5,4,5,5,4,5,4,14|10|12|13|11|15|9,2,5,2,Conservatism|Liberalism,3,4,0,TransWomen|Non-Binary|TransMen|CisMen|CisWomen,Exclusivity|Naturalness|Informativeness|Uniformity|Necessity|Inherence|Discreteness|Stability|Immutability,Keep,3,1,2,1,1
51,11/6/2017,100,452,7.533333333,1,29plKeMW00uQKHv,1,1,1,0,-1,-1,-1,0,1,1,0,1,1,2,1,0,2,2,-1,1,1,1,0,Affectionate|Efficient|Clever|GoodUnderPressure|FeelSuperior|Intelligent|Capable|Considerate|WarmInRelations|Trustworthy|Reliable|Fair|Competent|Empathetic|SelfConfident|HasLeadershipQualities|Caring|Just|Friendly|Persistent,1,1,1,1,1,1,1,1,1,1,0,2,0,2,0,2,2,2,2,1,Trustworthy|FeelSuperior|Just|Clever|Reliable|Empathetic|Intelligent|Caring|Capable|HasLeadershipQualities|Friendly|Fair|Affectionate|Competent|Efficient|WarmInRelations|GoodUnderPressure|SelfConfident|Persistent|Considerate,1,1,1,1,1,1,1,0,1,0,-1,0,0,-1,-1,0,0,-1,0,0,Clever|Competent|Intelligent|Reliable|Considerate|HasLeadershipQualities|SelfConfident|FeelSuperior|Empathetic|Trustworthy|GoodUnderPressure|Capable|Friendly|Just|Fair|Caring|Persistent|Efficient|WarmInRelations|Affectionate,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,1,0,0,Friendly|HasLeadershipQualities|Empathetic|Affectionate|Just|Capable|Caring|Clever|FeelSuperior|GoodUnderPressure|SelfConfident|Persistent|Reliable|Competent|Fair|WarmInRelations|Intelligent|Considerate|Trustworthy|Efficient,1,2,2,2,1,1,1,2,2,1,0,1,1,1,-1,2,1,1,1,1,Reliable|Empathetic|FeelSuperior|Trustworthy|Capable|Just|Friendly|Efficient|Persistent|SelfConfident|GoodUnderPressure|Fair|Competent|HasLeadershipQualities|Caring|Intelligent|Clever|WarmInRelations|Affectionate|Considerate,3,3,0,0,0,TransMen|CisWomen|TransWomen|NonBinary|CisMen,3,3,3,3,3,TransWomen|TransMen|NonBinary|CisWomen|CisMen,1,0,8,8,8,0,0,8,4,0,5,5,5,6,6,6,6,1,8|7|1|3|5|2|4|6,5,6,4,6,3,6,6,11|9|15|12|10|14|13,3,7,1,Conservatism|Liberalism,5,6,0,CisMen|Non-Binary|TransMen|TransWomen|CisWomen,Discreteness|Uniformity|Informativeness|Stability|Exclusivity|Immutability|Naturalness|Inherence|Necessity,Keep,2,1,2,1,2
52,11/6/2017,100,544,9.066666667,1,2AHJY10mPE7yKFu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,Fair|Trustworthy|GoodUnderPressure|Capable|Caring|Friendly|Persistent|Clever|Efficient|Just|WarmInRelations|Reliable|FeelSuperior|Considerate|Affectionate|Competent|HasLeadershipQualities|Empathetic|Intelligent|SelfConfident,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,Fair|Trustworthy|Considerate|Clever|Caring|SelfConfident|Reliable|Intelligent|GoodUnderPressure|Friendly|Just|Empathetic|Capable|Persistent|WarmInRelations|HasLeadershipQualities|Affectionate|Competent|FeelSuperior|Efficient,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,Fair|Empathetic|Clever|SelfConfident|FeelSuperior|Caring|WarmInRelations|GoodUnderPressure|Just|Reliable|Intelligent|Persistent|Efficient|HasLeadershipQualities|Trustworthy|Capable|Considerate|Friendly|Affectionate|Competent,1,1,2,1,2,1,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,Empathetic|Capable|Trustworthy|Fair|Friendly|Reliable|FeelSuperior|Clever|Just|HasLeadershipQualities|Caring|WarmInRelations|Efficient|Competent|Affectionate|GoodUnderPressure|Intelligent|Considerate|Persistent|SelfConfident,1,1,1,1,2,1,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,GoodUnderPressure|Reliable|Efficient|Intelligent|Affectionate|Competent|Friendly|Persistent|Trustworthy|Caring|Capable|Fair|HasLeadershipQualities|Clever|Considerate|Just|Empathetic|SelfConfident|WarmInRelations|FeelSuperior,3,3,2,2,2,NonBinary|TransWomen|CisWomen|CisMen|TransMen,3,3,2,2,2,NonBinary|CisWomen|TransMen|TransWomen|CisMen,1,6,8,8,8,8,0,0,4,8,3,1,1,4,2,4,1,1,3|8|7|4|1|2|6|5,1,1,1,4,1,3,2,13|9|10|11|12|14|15,5,1,7,Liberalism|Conservatism,3,5,0,TransMen|CisWomen|TransWomen|Non-Binary|CisMen,Informativeness|Uniformity|Discreteness|Naturalness|Immutability|Stability|Inherence|Necessity|Exclusivity,Keep,1,1,2,1,2
53,11/6/2017,100,230,3.833333333,1,2aQP71n6jFLweMx,1,1,1,1,1,1,1,-1,2,1,0,2,-1,0,-1,0,1,1,0,1,1,0,0,Reliable|HasLeadershipQualities|Capable|Competent|Just|SelfConfident|Intelligent|Friendly|Persistent|Fair|Caring|Clever|Affectionate|FeelSuperior|Efficient|Considerate|GoodUnderPressure|Empathetic|Trustworthy|WarmInRelations,0,1,1,1,-1,0,0,2,-1,1,1,NA,-1,-1,0,1,0,-1,-1,-1,Persistent|HasLeadershipQualities|Efficient|Considerate|WarmInRelations|Capable|FeelSuperior|Competent|Affectionate|Friendly|Empathetic|GoodUnderPressure|Trustworthy|Just|Reliable|SelfConfident|Fair|Caring|Intelligent|Clever,1,1,1,1,1,-1,0,1,1,1,1,1,1,0,1,0,-1,0,0,0,GoodUnderPressure|Reliable|Capable|Competent|HasLeadershipQualities|WarmInRelations|Fair|Caring|Intelligent|Trustworthy|Just|FeelSuperior|Friendly|Clever|Considerate|Efficient|Empathetic|Persistent|SelfConfident|Affectionate,0,1,-1,0,-1,1,2,1,0,-1,-2,1,0,1,1,0,1,-2,0,-1,Caring|Friendly|HasLeadershipQualities|FeelSuperior|Empathetic|Competent|SelfConfident|Intelligent|Reliable|Affectionate|Trustworthy|Considerate|Capable|GoodUnderPressure|WarmInRelations|Just|Efficient|Fair|Clever|Persistent,1,-1,0,1,1,-2,1,0,2,0,-1,0,1,-1,1,-1,-1,0,1,1,Efficient|Trustworthy|Empathetic|GoodUnderPressure|Caring|Affectionate|Reliable|Fair|FeelSuperior|SelfConfident|HasLeadershipQualities|Just|Capable|WarmInRelations|Competent|Considerate|Persistent|Intelligent|Friendly|Clever,1,0,2,2,2,CisMen|CisWomen|TransWomen|NonBinary|TransMen,1,2,2,2,1,CisMen|TransWomen|TransMen|NonBinary|CisWomen,1,5,4,4,6,4,2,7,6,3,3,3,4,6,2,4,3,5,3|2|1|5|6|7|4|8,3,4,2,3,2,5,3,11|10|12|9|14|15|13,3,3,5,Conservatism|Liberalism,7,1,0,TransMen|CisWomen|Non-Binary|CisMen|TransWomen,Stability|Necessity|Informativeness|Immutability|Inherence|Exclusivity|Discreteness|Naturalness|Uniformity,Keep,1,1,2,1,3
54,11/6/2017,100,189,3.15,1,2B3wT6TDmp8KDgl,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Reliable|WarmInRelations|FeelSuperior|Competent|Affectionate|Intelligent|Caring|Clever|SelfConfident|Fair|HasLeadershipQualities|Considerate|GoodUnderPressure|Trustworthy|Just|Friendly|Efficient|Empathetic|Persistent|Capable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FeelSuperior|WarmInRelations|Friendly|Persistent|Just|HasLeadershipQualities|Affectionate|Efficient|Competent|Intelligent|Considerate|GoodUnderPressure|Empathetic|Reliable|Trustworthy|Capable|SelfConfident|Clever|Caring|Fair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Efficient|Clever|Intelligent|Caring|Just|FeelSuperior|Capable|Reliable|GoodUnderPressure|Trustworthy|SelfConfident|Persistent|Fair|Affectionate|HasLeadershipQualities|Empathetic|Considerate|Competent|Friendly|WarmInRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Competent|SelfConfident|Just|Considerate|GoodUnderPressure|Trustworthy|WarmInRelations|HasLeadershipQualities|Intelligent|Empathetic|Friendly|Efficient|Caring|Reliable|Affectionate|Persistent|FeelSuperior|Capable|Fair|Clever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SelfConfident|Friendly|GoodUnderPressure|Intelligent|Just|FeelSuperior|Considerate|Fair|Clever|Empathetic|WarmInRelations|Persistent|Trustworthy|Capable|Caring|Affectionate|Competent|HasLeadershipQualities|Reliable|Efficient,3,3,0,1,1,TransMen|NonBinary|CisWomen|TransWomen|CisMen,3,3,2,2,2,NonBinary|CisWomen|TransMen|TransWomen|CisMen,1,2,7,7,2,1,2,3,1,6,1,1,1,1,1,1,1,1,4|8|5|1|6|2|7|3,1,1,1,1,1,1,1,10|13|9|11|14|12|15,6,1,7,Conservatism|Liberalism,3,3,0,TransWomen|CisMen|CisWomen|Non-Binary|TransMen,Immutability|Exclusivity|Uniformity|Stability|Inherence|Necessity|Naturalness|Discreteness|Informativeness,Keep,1,1,1,1,2
